id;code;poids;datelivraison;status
1;Executive Czech Koruna Accountability;37365;2020-03-02;EN_PREPARATION
2;Chips;11546;2020-03-03;EN_PREPARATION
3;platforms deposit;78639;2020-03-02;EN_PREPARATION
4;Home Loan Account virtual;22976;2020-03-03;EXPEDIE
5;compress;86136;2020-03-03;EN_PREPARATION
6;Global Reunion wireless;50508;2020-03-02;EXPEDIE
7;disintermediate moderator backing up;91749;2020-03-03;RECU
8;4th generation indexing;28339;2020-03-02;EN_PREPARATION
9;solid state;30661;2020-03-03;PRET
10;Oregon Intuitive back up;72676;2020-03-03;PRET
